,Country,Happiness score,iso_a3
0,Finland,7.769,FIN
1,Denmark,7.6,DNK
2,Norway,7.553999999999999,NOR
3,Iceland,7.494,ISL
4,Netherlands,7.4879999999999995,NLD
5,Switzerland,7.48,CHE
6,Sweden,7.343,SWE
7,New Zealand,7.307,NZL
8,Canada,7.278,CAN
9,Austria,7.246,AUT
10,Australia,7.228,AUS
11,Costa Rica,7.167000000000001,CRI
12,Israel,7.138999999999999,ISR
13,Luxembourg,7.09,LUX
14,United Kingdom,7.053999999999999,GBR
15,Ireland,7.021,IRL
16,Germany,6.985,DEU
17,Belgium,6.922999999999999,BEL
18,United States,6.892,USA
19,Czech Republic,6.852,CZE
20,United Arab Emirates,6.825,ARE
21,Malta,6.726,MLT
22,Mexico,6.595,MEX
23,France,6.5920000000000005,FRA
24,Taiwan Province of China,6.446000000000001,TWN
25,Chile,6.444,CHL
26,Guatemala,6.436,GTM
27,Saudi Arabia,6.375,SAU
28,Qatar,6.374,QAT
29,Spain,6.354,ESP
30,Panama,6.321000000000001,PAN
31,Brazil,6.3,BRA
32,Uruguay,6.292999999999999,URY
33,Singapore,6.2620000000000005,SGP
34,El Salvador,6.252999999999999,SLV
35,Italy,6.223,ITA
36,Bahrain,6.199,BHR
37,Slovakia,6.1979999999999995,SVK
38,Trinidad and Tobago,6.192,TTO
39,Poland,6.182,POL
40,Uzbekistan,6.1739999999999995,UZB
41,Lithuania,6.149,LTU
42,Colombia,6.125,COL
43,Slovenia,6.117999999999999,SVN
44,Nicaragua,6.105,NIC
45,Kosovo,6.1,XK
46,Argentina,6.086,ARG
47,Romania,6.07,ROU
48,Cyprus,6.046,CYP
49,Ecuador,6.028,ECU
50,Kuwait,6.021,KWT
51,Thailand,6.007999999999999,THA
52,Latvia,5.94,LVA
53,South Korea,5.895,KOR
54,Estonia,5.893,EST
55,Jamaica,5.89,JAM
56,Mauritius,5.888,MUS
57,Japan,5.886,JPN
58,Honduras,5.86,HND
59,Kazakhstan,5.809,KAZ
60,Bolivia,5.779,BOL
61,Hungary,5.757999999999999,HUN
62,Paraguay,5.742999999999999,PRY
63,North Cyprus,5.718,CYP
64,Peru,5.697,PER
65,Portugal,5.693,PRT
66,Pakistan,5.653,PAK
67,Russia,5.648,RUS
68,Philippines,5.631,PHL
69,Serbia,5.603,SRB
70,Moldova,5.529,MDA
71,Libya,5.525,LBY
72,Montenegro,5.523,MNE
73,Tajikistan,5.4670000000000005,TJK
74,Croatia,5.432,HRV
75,Hong Kong S.A.R. of China,5.43,HKG
76,Dominican Republic,5.425,DOM
77,Bosnia and Herzegovina,5.386,BIH
78,Turkey,5.372999999999999,TUR
79,Malaysia,5.3389999999999995,MYS
80,Belarus,5.3229999999999995,BLR
81,Greece,5.287000000000001,GRC
82,Mongolia,5.285,MNG
83,Macedonia,5.274,MKD
84,Nigeria,5.265,NGA
85,Kyrgyzstan,5.261,KGZ
86,Turkmenistan,5.247000000000001,TKM
87,Algeria,5.211,DZA
88,Morocco,5.207999999999999,MAR
89,Azerbaijan,5.207999999999999,AZE
90,Lebanon,5.197,LBN
91,Indonesia,5.192,IDN
92,China,5.191,CHN
93,Vietnam,5.175,VNM
94,Bhutan,5.082,BTN
95,Cameroon,5.044,CMR
96,Bulgaria,5.011,BGR
97,Ghana,4.996,GHA
98,Ivory Coast,4.944,CIV
99,Nepal,4.913,NPL
100,Jordan,4.906000000000001,JOR
101,Benin,4.883,BEN
102,Congo (Brazzaville),4.812,COG
103,Gabon,4.7989999999999995,GAB
104,Laos,4.796,LAO
105,South Africa,4.7219999999999995,ZAF
106,Albania,4.718999999999999,ALB
107,Venezuela,4.707,VEN
108,Cambodia,4.7,KHM
109,Palestinian Territories,4.696000000000001,PSE
110,Senegal,4.681,SEN
111,Somalia,4.668,SOM
112,Namibia,4.638999999999999,NAM
113,Niger,4.628,NER
114,Burkina Faso,4.587,BFA
115,Armenia,4.559,ARM
116,Iran,4.548,IRN
117,Guinea,4.534,GIN
118,Georgia,4.519,GEO
119,Gambia,4.516,GMB
120,Kenya,4.5089999999999995,KEN
121,Mauritania,4.49,MRT
122,Mozambique,4.466,MOZ
123,Tunisia,4.461,TUN
124,Bangladesh,4.456,BGD
125,Iraq,4.437,IRQ
126,Congo (Kinshasa),4.418,COD
127,Mali,4.39,MLI
128,Sierra Leone,4.374,SLE
129,Sri Lanka,4.3660000000000005,LKA
130,Myanmar,4.36,MMR
131,Chad,4.35,TCD
132,Ukraine,4.332,UKR
133,Ethiopia,4.2860000000000005,ETH
134,Swaziland,4.212,SWZ
135,Uganda,4.189,UGA
136,Egypt,4.166,EGY
137,Zambia,4.107,ZMB
138,Togo,4.085,TGO
139,India,4.015,IND
140,Liberia,3.975,LBR
141,Comoros,3.9730000000000003,COM
142,Madagascar,3.9330000000000003,MDG
143,Lesotho,3.802,LSO
144,Burundi,3.775,BDI
145,Zimbabwe,3.6630000000000003,ZWE
146,Haiti,3.597,HTI
147,Botswana,3.488,BWA
148,Syria,3.4619999999999997,SYR
149,Malawi,3.41,MWI
150,Yemen,3.38,YEM
151,Rwanda,3.3339999999999996,RWA
152,Tanzania,3.2310000000000003,TZA
153,Afghanistan,3.2030000000000003,AFG
154,Central African Republic,3.083,CAF
155,South Sudan,2.853,SSD
